,Location,Latitude,Longitude,Space Port,Country,Owner,Match
0,"Alc창ntara Space Center, Maranh찾o, Brazil",-2.339444,-44.4175,Alc창ntara Space Center, Brazil, Brazil,0
25,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1
26,"Barents Sea Launch Area, Barents Sea, Russia",75.0,40.0,Barents Sea Launch Area, Russia, Russia,2
40,"Base Aerea de Gando, Gran Canaria, Spain",27.936,-15.379,Base Aerea de Gando, Spain, Spain,3
1,"Blue Origin Launch Site, West Texas, Texas, USA",31.423333000000003,-104.758889,Blue Origin, USA, USA,4
2,"Boca Chica, Texas, USA",25.997,-97.157,Boca Chica, USA, USA,5
3,"Cape Canaveral AFS, Florida, USA",28.488889,-80.57777800000002,Cape Canaveral AFS, USA, USA,6
4,"Cape Canaveral SFS, Florida, USA",28.562106,-80.57718,Cape Canaveral SFS, USA, USA,7
5,"Edwards AFB, California, USA",34.905556,-117.88361100000002,Edwards AFB, USA, USA,8
23,"Guiana Space Centre, French Guiana, France",5.222222,-52.773611,Guiana Space Centre, France, France,9
42,"Hammaguir, Algeria, France",30.9,-3.0333330000000003,Hammaguir, France, France,10
18,"Jiuquan Satellite Launch Center, China",40.960556,100.298333,Jiuquan Satellite Launch Center, China, China,11
27,"Kapustin Yar, Russia",48.59,45.72,Kapustin Yar, Russia, Russia,12
7,"Kauai Pacific Missile Range Facility, Hawaii, USA",22.022778,-159.785,Kauai Pacific Missile Range Facility, USA, USA,13
6,"Kennedy Space Center, Florida, USA",28.60838900000001,-80.604333,Kennedy Space Center, USA, USA,14
39,"Kiritimati Launch Area, Pacific Ocean, USA",1.866667,-157.4,Kiritimati Launch Area, USA, USA,15
8,"Mojave Air and Space Port, California, USA",35.059444,-118.151667,Mojave Air and Space Port, USA, USA,16
21,"Naro Space Center, South Korea",34.431944,127.535,Naro Space Center, South Korea, South Korea,17
9,"Naval Air Station Point Mugu, California, USA",34.120278000000006,-119.121111,Naval Air Station Point Mugu, USA, USA,18
10,"Pacific Spaceport Complex Kodiak, Alaska, USA",57.435833,-152.337778,Pacific Spaceport Complex Kodiak, USA, USA,19
33,"Palmachim Airbase, Israel",31.897778,34.690556,Palmachim Airbase, Israel, Israel,20
28,"Plesetsk Cosmodrome, Russia",62.92555600000001,40.577778,Plesetsk Cosmodrome, Russia, Russia,21
41,"RAAF Woomera Range Complex, Australia",-30.9553,136.5322,RAAF Woomera Range Complex, Australia, Australia,22
24,"Rocket Lab, M훮hia Peninsula, New Zealand, USA",-39.2615,177.864876,Rocket Lab, USA, USA,23
11,"Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",8.716667,167.73333300000004,Ronald Reagan Ballistic Missile Defense Test Site, USA, USA,24
22,"San Marco Launch Platform, Kenya, Italy and USA",-2.938333,40.2125,San Marco Launch Platform, Italy and USA, Italy and USA,25
36,"Satish Dhawan Space Centre, India",13.719939000000002,80.230425,Satish Dhawan Space Centre, India, India,26
35,"Semnan Space Center, Iran",35.2346,53.9221,Semnan Space Center, Iran, Iran,27
34,"Shahrud Missile Test Site, Iran",36.406224,55.016269,Shahrud Missile Test Site, Iran, Iran,28
37,"Sohae Satellite Launching Station, North Korea",39.66,124.705,Sohae Satellite Launching Station, North Korea, North Korea,29
12,"Spaceport America, New Mexico, USA",32.990278,-106.969722,Spaceport America, USA, USA,30
13,"Starbase Texas, USA",25.9875,-97.186389,Starbase Texas, USA, USA,31
14,"Svobodny Cosmodrome, Russia",51.7,128.0,Svobodny Cosmodrome, Russia, Russia,32
17,"Taiyuan Satellite Launch Center, China",38.849086,111.608497,Taiyuan Satellite Launch Center, China, China,33
31,"Tanegashima Space Center, Japan",30.402222,130.975,Tanegashima Space Center, Japan, Japan,34
38,"Tonghae Satellite Launching Ground, North Korea",40.85,129.666667,Tonghae Satellite Launching Ground, North Korea, North Korea,35
32,"Uchinoura Space Center, Japan",31.251944,131.081944,Uchinoura Space Center, Japan, Japan,36
15,"Vandenberg AFB, California, USA",34.732778,-120.568056,Vandenberg AFB, USA, USA,37
29,"Vostochny Cosmodrome, Russia",51.884553,128.334778,Vostochny Cosmodrome, Russia, Russia,38
16,"Wallops Flight Facility, Virginia, USA",37.940194,-75.466389,Wallops Flight Facility, USA, USA,39
19,"Wenchang Satellite Launch Center, China",19.614354,110.951057,Wenchang Satellite Launch Center, China, China,40
20,"Xichang Satellite Launch Center, China",28.246017,102.026556,Xichang Satellite Launch Center, China, China,41
30,"Yasny Cosmodrome, Russia",51.093889,59.842222,Yasny Cosmodrome, Russia, Russia,42
43,"Yellow Sea, China",38, 123,Yellow Sea, China, China, 43